Brewery ID,Brewer Name,City,State,Zip,Lat,Long
578,The Liberal Cup Public House & Brewery,,,,,
579,Kona Brewing Co.,,,,,
580,Browar &#321;om&#380;a Sp. z o.o.,,,,,
582,Trailhead Brewing Company,,,,,
583,Saint Louis Brewery / Schlafly Tap Room,,,,,
585,Brauerei Gebrüder Maisel GmbH & Co.,,,,,
589,Fratello's & Fox River Brewing,,,,,
590,New Glarus Brewing Company,,,,,
591,Hoptown Brewing Company,,,,,
593,Morgan Street Brewery,,,,,
594,Route 66 Brewery,,,,,
601,Obolon Brewery,,,,,
605,"Bayern Brewing, Inc.",,,,,
607,High Point Brewing Company,,,,,
608,Rio Grande Brewing Company,,,,,
610,Bear Republic Brewing Co.,,,,,
611,Wagner Valley Brewery,,,,,
612,Flossmoor Station Restaurant & Brewery,,,,,
617,Niagara Brewing Company,,,,,
619,Indian Wells Brewing Company,,,,,
620,Der HirschBrau/Privatbrauerei Höss,,,,,
621,Tinkoff,,,,,
622,Shaftebury Brewing Company,,,,,
624,Tuckerman Brewing Co.,,,,,
627,Monteith's Brewing Co.,,,,,
629,New Century Brewing Company,,,,,
630,Academy of Fine Beers,,,,,
632,Triple Rock Brewery & Alehouse,,,,,
634,Brouwerij Van Eecke N.V.,,,,,
635,Brasserie Ellezelloise,,,,,
637,Brasserie Dupont sprl,,,,,
641,Brouwerij Verhaeghe,,,,,
645,Irish Brewing Company,,,,,
646,Carlow Brewing Company,,,,,
647,The Biddy Early Brewery,,,,,
649,Isle of Arran Brewery Company Ltd.,,,,,
650,Kelley Brothers Brewing Company,,,,,
651,Ithaca Beer Company,,,,,
654,Brouwerij Mort Subite,,,,,
655,Boddingtons,,,,,
657,Brouwerij Louwaege,,,,,
659,"Cervecería Nacional, S.A.",,,,,
660,Huisbrouwerij Boelens,,,,,
661,Muskoka Brewery,,,,,
663,Federal Jack's Restaurant & Brew Pub,,,,,
665,Smithwick's Brewery / Irish Ale Breweries Ltd,,,,,
666,Emerson's Brewery,,,,,
669,Brouwerij De Landtsheer NV,,,,,
670,Riverside Brewing Company,,,,,
675,Brouwerij Roman N.V.,,,,,
676,Foundry Ale Works,,,,,
678,Hal and Mal's Restaurant,,,,,
680,Bricktown Brewery,,,,,
681,Brasserie de l'Abbaye des Rocs s.a.,,,,,
682,Pearl Street Brewery,,,,,
683,Valkyrie Brewing,,,,,
684,Fish Brewing Company / Fishbowl Brewpub,,,,,
686,Whale Tail Brew Pub,,,,,
687,The Brew Pub at Mohegan Sun,,,,,
688,Coastal Extreme Brewing Co.,,,,,
689,Two Brothers Brewing Company,,,,,
691,Blackstone Restaurant & Brewery,,,,,
692,Ellicottville Brewing Co.,,,,,
694,Tröegs Brewing Company,,,,,
695,Manayunk Brewery and Restaurant,,,,,
696,Thomas Hooker Brewing Company,,,,,
