beer,abv,ibu,style,brewery
Honey Moon Summer Ale,5.6,10.0,Light American Wheat Ale or Lager,Coors Brewing - Golden Brewery
Harvest Moon Pumpkin,5.7,10.0,Pumpkin Beer,Coors Brewing - Golden Brewery
Flaming Crane Chili Beer,4.5,10.0,Undefined-Ignore,Crane River Brewpub and Cafe
Carhenge Wheat,4.5,10.0,Undefined-Ignore,Crane River Brewpub and Cafe
Platte Valley ESB,4.5,10.0,Undefined-Ignore,Crane River Brewpub and Cafe
Zlatí© Pivo Golden Beer,4.5,10.0,Undefined-Ignore,Crane River Brewpub and Cafe
Whooping Wheat,4.5,10.0,Undefined-Ignore,Crane River Brewpub and Cafe
Porter,4.5,10.0,Porter,Crane River Brewpub and Cafe
Zoo Brew 25,4.5,10.0,American-Style Pale Ale,Crane River Brewpub and Cafe
Homestead Pale Ale,4.5,10.0,American-Style Pale Ale,Crane River Brewpub and Cafe
Sod House Altbier,4.5,10.0,American-Style Brown Ale,Crane River Brewpub and Cafe
Good Life Stout,4.5,10.0,American-Style Stout,Crane River Brewpub and Cafe
Oktoberfest Ale,4.5,10.0,German-Style Oktoberfest,Crane River Brewpub and Cafe
Red Top Rye,4.5,10.0,American-Style Lager,Crane River Brewpub and Cafe
Weizen,4.5,10.0,American-Style Lager,Crane River Brewpub and Cafe
Golden Rail,4.5,10.0,Undefined-Ignore,Cherryland Brewing
Apple Bach,4.5,10.0,Light American Wheat Ale or Lager,Cherryland Brewing
Cherry Rail,4.5,10.0,Light American Wheat Ale or Lager,Cherryland Brewing
Raspberry Beer,4.5,10.0,Light American Wheat Ale or Lager,Cherryland Brewing
Big Horn Wyoming Blonde,4.5,10.0,Undefined-Ignore,C.B. & Potts of Cheyenne
Big Horn Total Disorder Porter,4.5,10.0,Porter,C.B. & Potts of Cheyenne
Big Horn Big Red Ale,4.5,10.0,American-Style Pale Ale,C.B. & Potts of Cheyenne
Big Horn Buttface Amber,4.5,10.0,American-Style Amber/Red Ale,C.B. & Potts of Cheyenne
Big Horn Fort Collins Stout,4.5,10.0,American-Style Stout,C.B. & Potts of Cheyenne
Big Horn Hefeweizen,4.5,10.0,South German-Style Hefeweizen,C.B. & Potts of Cheyenne
Big Horn Light,4.5,10.0,American-Style Lager,C.B. & Potts of Cheyenne
Big Horn Bluesberry,4.5,10.0,Light American Wheat Ale or Lager,C.B. & Potts of Cheyenne
Specialty Beer: Oak-Aged Black Double IPA,8.5,10.0,Undefined-Ignore,Midnight Sun Brewing Co.
Arctic Devil Barley Wine,13.2,10.0,Undefined-Ignore,Midnight Sun Brewing Co.
Envy,7.0,10.0,Undefined-Ignore,Midnight Sun Brewing Co.
Midnight Sun Kolsch,5.0,10.0,Undefined-Ignore,Midnight Sun Brewing Co.
Specialty Beer: Black Double IPA,8.5,10.0,Undefined-Ignore,Midnight Sun Brewing Co.
Brewtality Espresso Black Bier,9.7,10.0,Undefined-Ignore,Midnight Sun Brewing Co.
Full Curl Scotch Ale,6.0,10.0,Scotch Ale,Midnight Sun Brewing Co.
Earth - Belgian Style Chocolate Milk Stout,5.0,10.0,Sweet Stout,Midnight Sun Brewing Co.
Arctic Rhino Coffee Porter,5.0,10.0,Porter,Midnight Sun Brewing Co.
Oak-Aged Imperial Chocolate Pumpkin Porter,7.8,10.0,Porter,Midnight Sun Brewing Co.
Rondy Brew 2009,4.5,10.0,American-Style Pale Ale,Midnight Sun Brewing Co.
La Maitresse du Moine,9.0,10.0,Dark American-Belgo-Style Ale,Midnight Sun Brewing Co.
Conspiracy,8.5,10.0,Dark American-Belgo-Style Ale,Midnight Sun Brewing Co.
Sockeye Red IPA,5.7,10.0,American-Style India Pale Ale,Midnight Sun Brewing Co.
Obliteration VI,8.5,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
CoHoHo Imperial IPA,8.0,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Meltdown Double IPA,8.0,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Obliteration III,7.6,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Mars - Belgian Imperial Red IPA,8.7,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Gluttony,14.55,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Obliteration IV,8.7,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Obliteration I,8.5,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Obliteration II,8.3,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Obliteration V,8.2,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Free Loader Double Red IPA,4.5,10.0,Imperial or Double India Pale Ale,Midnight Sun Brewing Co.
Oosik Amber Ale,5.0,10.0,American-Style Amber/Red Ale,Midnight Sun Brewing Co.
Big Slick American Barleywine Ale,11.9,10.0,American-Style Barley Wine Ale,Midnight Sun Brewing Co.
Kodiak Brown Nut Brown Ale,5.0,10.0,American-Style Brown Ale,Midnight Sun Brewing Co.
Mammoth Extra Stout,6.0,10.0,American-Style Stout,Midnight Sun Brewing Co.
Sloth,14.5,10.0,American-Style Imperial Stout,Midnight Sun Brewing Co.
Berserker Imperial Stout,12.7,10.0,American-Style Imperial Stout,Midnight Sun Brewing Co.
Old Whiskers,4.5,10.0,South German-Style Hefeweizen,Midnight Sun Brewing Co.
Panty Peeler Tripel,8.5,10.0,Belgian-Style Tripel,Midnight Sun Brewing Co.
"Jupiter - Belgian-style \Champagne\"" Trippel""",4.5,10.0,Belgian-Style Tripel,Midnight Sun Brewing Co.
Venus - Belgian-style Quadrupel,16.0,10.0,Belgian-Style Quadrupel,Midnight Sun Brewing Co.
Greed,5.0,10.0,Belgian-Style Pale Ale,Midnight Sun Brewing Co.
Fallen Angel,8.0,10.0,Belgian-Style Pale Strong Ale,Midnight Sun Brewing Co.
Pride,6.5,10.0,Belgian-Style Pale Strong Ale,Midnight Sun Brewing Co.
Lust,11.5,10.0,Belgian-Style Dark Strong Ale,Midnight Sun Brewing Co.
The Viking Belgian-style Dark Strong Ale,12.0,10.0,Belgian-Style Dark Strong Ale,Midnight Sun Brewing Co.
Anchor Witbier with Brettanomyces,6.25,10.0,Belgian-Style White,Midnight Sun Brewing Co.
Cosmic Black Witbier,6.2,10.0,Belgian-Style White,Midnight Sun Brewing Co.
Mercury - Belgian Style Small Beer,6.5,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Wrath,8.2,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Pluto - Belgian-style Golden Strong Ale,8.7,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Saturn - Belgian-style Fresh Hop IPA,8.0,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Uranus - 100% Brettanomyces Golden Ale,7.2,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Descent Imperial Abbey Ale,8.3,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
3767 Belgian-style IPA with Brett,8.0,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Mayhem Belgian-style Double IPA,8.2,10.0,Other Belgian-Style Ales,Midnight Sun Brewing Co.
Fahrwasser Fairway Pilsner,5.2,10.0,German-Style Pilsener,Midnight Sun Brewing Co.
RUMBAH Double Rum Bock,14.5,10.0,German-Style Doppelbock,Midnight Sun Brewing Co.
Cafe Amsterdam's 10th Anniversary Gruit,12.0,10.0,Fruit Beer,Midnight Sun Brewing Co.
Imperial Chocolate Pumpkin Porter,7.8,10.0,Pumpkin Beer,Midnight Sun Brewing Co.
Trickster Belgian-style Pumpkin Ale,7.0,10.0,Pumpkin Beer,Midnight Sun Brewing Co.
Bathtub Gin Gruit Ale,8.0,10.0,Herb and Spice Beer,Midnight Sun Brewing Co.
Fur Rondy,6.0,10.0,Winter Warmer,Midnight Sun Brewing Co.
Grizzly Wulff Wheat,5.3,10.0,Undefined-Ignore,Yellowstone Valley Brewing
Barely Blond,4.5,10.0,Undefined-Ignore,Firehouse Brewing
Firehouse Red,4.5,10.0,American-Style Pale Ale,Firehouse Brewing
Brown Cow Ale,4.5,10.0,American-Style Brown Ale,Firehouse Brewing
Smoke Jump Stout,4.5,10.0,American-Style Stout,Firehouse Brewing
Wilderness Wheat,4.5,10.0,American-Style Lager,Firehouse Brewing
ESB,4.5,10.0,Undefined-Ignore,Court Avenue Brewing
Topping Pale Ale,4.5,10.0,American-Style Pale Ale,Court Avenue Brewing
Pointer Brown Ale,4.5,10.0,American-Style Brown Ale,Court Avenue Brewing
Black Hawk Stout,4.5,10.0,American-Style Stout,Court Avenue Brewing
Vimalt Wheat,4.5,10.0,American-Style Lager,Court Avenue Brewing
Capital Raspberry Wheat,4.5,10.0,Light American Wheat Ale or Lager,Court Avenue Brewing
Dunkelweisse,4.5,10.0,Undefined-Ignore,Cedar Brewing
Pardon Me Porter,4.5,10.0,Porter,Cedar Brewing
Flying Aces Ale,4.5,10.0,American-Style Pale Ale,Cedar Brewing
Red Rocket Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Cedar Brewing
Summer Alt,4.5,10.0,American-Style Brown Ale,Cedar Brewing
Black Cobra Stout,4.5,10.0,American-Style Stout,Cedar Brewing
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Cedar Brewing
Helles Honey Bock,4.5,10.0,Traditional German-Style Bock,Cedar Brewing
Ribleymeister Light,4.5,10.0,American-Style Lager,Cedar Brewing
Golden Hawk Wheat Beer,4.5,10.0,American-Style Lager,Cedar Brewing
Raging River Ale,4.5,10.0,Undefined-Ignore,Front Street Brewery
Old Davenport Gold,4.5,10.0,American-Style Pale Ale,Front Street Brewery
Bucktown Stout,4.5,10.0,American-Style Stout,Front Street Brewery
Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Front Street Brewery
Cherry Ale,4.5,10.0,Light American Wheat Ale or Lager,Front Street Brewery
Vanilla Creme Ale,4.5,10.0,Undefined-Ignore,Raccoon River Brewing
Tallgrass Prairie Gold,4.5,10.0,Undefined-Ignore,Raccoon River Brewing
Barnstormer Pale Ale,4.5,10.0,American-Style Pale Ale,Raccoon River Brewing
Bandit IPA,4.5,10.0,American-Style India Pale Ale,Raccoon River Brewing
Railyard Ale,4.5,10.0,American-Style Brown Ale,Raccoon River Brewing
Stonecutter Stout,4.5,10.0,American-Style Stout,Raccoon River Brewing
Maibock,4.5,10.0,Traditional German-Style Bock,Raccoon River Brewing
Stone Beer,4.5,10.0,Undefined-Ignore,Brimstone Brewing
Big Ale,4.5,10.0,Old Ale,Brimstone Brewing
Spiced Porter,4.5,10.0,Undefined-Ignore,River West Brewing
Berliner Weisse,4.5,10.0,Undefined-Ignore,River West Brewing
Light,4.5,10.0,Undefined-Ignore,River West Brewing
Bullfrog Bitter ESB,4.5,10.0,Undefined-Ignore,River West Brewing
India Pale Ale,4.5,10.0,American-Style Pale Ale,River West Brewing
Red Fox Amber,4.5,10.0,American-Style Amber/Red Ale,River West Brewing
Nut Brown,4.5,10.0,American-Style Brown Ale,River West Brewing
Railroad Stout,4.5,10.0,American-Style Stout,River West Brewing
Whistle Stop Weiss Beer,4.5,10.0,South German-Style Hefeweizen,River West Brewing
Windy City Pilsner,4.5,10.0,German-Style Pilsener,River West Brewing
Mí_rzen,4.5,10.0,German-Style Oktoberfest,River West Brewing
Doubledecker Doppelbock,4.5,10.0,Traditional German-Style Bock,River West Brewing
Maibock,4.5,10.0,Traditional German-Style Bock,River West Brewing
Calumet Pils,4.5,10.0,Undefined-Ignore,Rowland's Calumet Brewery
Calumet Kí_lsch,4.5,10.0,Undefined-Ignore,Rowland's Calumet Brewery
Calumet Dark,4.5,10.0,Porter,Rowland's Calumet Brewery
Calumet Amber,4.5,10.0,American-Style Amber/Red Ale,Rowland's Calumet Brewery
Calumet Bock,4.5,10.0,Traditional German-Style Bock,Rowland's Calumet Brewery
Calumet Wheat,4.5,10.0,American-Style Lager,Rowland's Calumet Brewery
Shiner Summer Stock Kí_lsch Beer,4.5,10.0,Undefined-Ignore,Spoetzl Brewery
Shiner Hefeweizen,5.4,10.0,South German-Style Hefeweizen,Spoetzl Brewery
Shiner Kosmos Reserve,4.5,10.0,American-Style Lager,Spoetzl Brewery
Shiner Blonde,4.4,10.0,American-Style Lager,Spoetzl Brewery
Shiner Bock,4.4,10.0,American-Style Lager,Spoetzl Brewery
Shiner Bohemian Black Lager,4.9,10.0,American-Style Lager,Spoetzl Brewery
Golden Pale,4.5,10.0,Undefined-Ignore,Tabernash Brewing
Dunkel Weizen,4.5,10.0,Undefined-Ignore,Tabernash Brewing
Kristall Weiss,4.5,10.0,South German-Style Hefeweizen,Tabernash Brewing
Weiss,4.5,10.0,South German-Style Hefeweizen,Tabernash Brewing
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Tabernash Brewing
Prairie Path Golden Ale,4.5,10.0,Undefined-Ignore,Two Brothers Brewing
Brown Fox Ale,4.5,10.0,American-Style Pale Ale,Two Brothers Brewing
The Bitter End Pale Ale,5.1,10.0,American-Style Pale Ale,Two Brothers Brewing
Brown Ale,4.5,10.0,American-Style Brown Ale,Two Brothers Brewing
Northwind Imperial Stout,7.5,10.0,American-Style Stout,Two Brothers Brewing
Iditarod Imperial Stout,4.5,10.0,American-Style Stout,Two Brothers Brewing
Ebelweiss,4.5,10.0,South German-Style Hefeweizen,Two Brothers Brewing
Domaine DuPage French Country Ale,5.9,10.0,French & Belgian-Style Saison,Two Brothers Brewing
Equinox E.S.B.,4.5,10.0,Undefined-Ignore,Glen Ellyn Sports Brew
Black Forest Dunkelweizen,4.5,10.0,Undefined-Ignore,Glen Ellyn Sports Brew
Evolutionary IPA,4.5,10.0,American-Style India Pale Ale,Glen Ellyn Sports Brew
Red,4.5,10.0,American-Style Amber/Red Ale,Glen Ellyn Sports Brew
Nut Brown,4.5,10.0,American-Style Brown Ale,Glen Ellyn Sports Brew
Smoked Porter,4.5,10.0,American-Style Lager,Glen Ellyn Sports Brew
G.E. Lite,4.5,10.0,American-Style Lager,Glen Ellyn Sports Brew
Vanilla Creme Ale,4.5,10.0,Undefined-Ignore,Prairie Rock Brewing - Elgin
Prairie Light,4.5,10.0,Undefined-Ignore,Prairie Rock Brewing - Elgin
Old Glory American Pale,4.5,10.0,American-Style Pale Ale,Prairie Rock Brewing - Elgin
Ale,4.5,10.0,American-Style Pale Ale,Prairie Rock Brewing - Elgin
Honey Brown Ale,4.5,10.0,American-Style Brown Ale,Prairie Rock Brewing - Elgin
Triple Nickel Irish Stout,4.5,10.0,American-Style Stout,Prairie Rock Brewing - Elgin
Prairie Inn Pilsner,4.5,10.0,Undefined-Ignore,Millrose Brewing
Dark Star,4.5,10.0,Porter,Millrose Brewing
Panther Ale,4.5,10.0,American-Style Pale Ale,Millrose Brewing
Country Ale,4.5,10.0,American-Style Pale Ale,Millrose Brewing
South Barrington Stout,4.5,10.0,American-Style Stout,Millrose Brewing
Wheat Honey Ale,4.5,10.0,American-Style Lager,Millrose Brewing
Eighty Shilling Ale,4.5,10.0,Undefined-Ignore,Flatlander's Restaurant & Brewery
Winter Delight,4.5,10.0,Old Ale,Flatlander's Restaurant & Brewery
Harvest Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Flatlander's Restaurant & Brewery
Locomotive Stout,4.5,10.0,American-Style Stout,Flatlander's Restaurant & Brewery
Bockbier,4.5,10.0,Traditional German-Style Bock,Flatlander's Restaurant & Brewery
Prairie Wheat Beer,4.5,10.0,American-Style Lager,Flatlander's Restaurant & Brewery
Olde Orchard Ale,4.5,10.0,Light American Wheat Ale or Lager,Flatlander's Restaurant & Brewery
Blacksmith Bitter Ale,4.5,10.0,Undefined-Ignore,O'Grady's Brewery and Pub #1
Magnificent Mild,4.5,10.0,English-Style Pale Mild Ale,O'Grady's Brewery and Pub #1
Chicago Fire,4.5,10.0,American-Style Pale Ale,O'Grady's Brewery and Pub #1
Stockyard Stout,4.5,10.0,American-Style Stout,O'Grady's Brewery and Pub #1
Prohibition Smokehouse Porter,4.5,10.0,American-Style Lager,O'Grady's Brewery and Pub #1
Haymarket Pilsner,4.5,10.0,American-Style Lager,O'Grady's Brewery and Pub #1
ESB,4.5,10.0,Undefined-Ignore,Weinkeller Brewery - Berwyn
Berliner Weisse,4.5,10.0,Undefined-Ignore,Weinkeller Brewery - Berwyn
Kristall Weiss,4.5,10.0,Undefined-Ignore,Weinkeller Brewery - Berwyn
Wee Heavy,4.5,10.0,Scotch Ale,Weinkeller Brewery - Berwyn
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Weinkeller Brewery - Berwyn
Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Weinkeller Brewery - Berwyn
Dublin Stout,6.0,10.0,American-Style Stout,Weinkeller Brewery - Berwyn
Bavarian Weiss,4.5,10.0,South German-Style Hefeweizen,Weinkeller Brewery - Berwyn
Mí_rzen,4.5,10.0,German-Style Oktoberfest,Weinkeller Brewery - Berwyn
Dusseldorfer Doppelbock,6.0,10.0,Traditional German-Style Bock,Weinkeller Brewery - Berwyn
Pilsner,4.5,10.0,American-Style Lager,Weinkeller Brewery - Berwyn
Zig Zag Lager,4.5,10.0,Undefined-Ignore,Portland Brewing
Benchmark Old Ale,9.9,10.0,Old Ale,Portland Brewing
Raspberry Porter,4.5,10.0,Undefined-Ignore,Breckenridge BBQ of Omaha
Strong Scotch Ale,8.6,10.0,Scotch Ale,Breckenridge BBQ of Omaha
India Pale Ale,4.5,10.0,American-Style Pale Ale,Breckenridge BBQ of Omaha
Avalanche Amber,4.5,10.0,American-Style Amber/Red Ale,Breckenridge BBQ of Omaha
Oatmeal Stout,4.5,10.0,American-Style Stout,Breckenridge BBQ of Omaha
Mountain Wheat,4.5,10.0,American-Style Lager,Breckenridge BBQ of Omaha
ESB,4.5,10.0,Undefined-Ignore,Wild River Brewing and Pizza - Cave Junction
Light,4.5,10.0,Undefined-Ignore,Wild River Brewing and Pizza - Cave Junction
Dark,4.5,10.0,Porter,Wild River Brewing and Pizza - Cave Junction
Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Wild River Brewing and Pizza - Cave Junction
Blackberry,4.5,10.0,Light American Wheat Ale or Lager,Wild River Brewing and Pizza - Cave Junction
Hazelnut Stout,4.5,10.0,Undefined-Ignore,Blitz-Weinhard Brewing
Spiced Ale,4.5,10.0,Undefined-Ignore,Yakima Brewing and Malting / Grant's Ales
Deep Powder Winter Ale,4.5,10.0,Old Ale,Yakima Brewing and Malting / Grant's Ales
India Pale Ale,4.5,10.0,American-Style Pale Ale,Yakima Brewing and Malting / Grant's Ales
Imperial Stout,6.0,10.0,American-Style Stout,Yakima Brewing and Malting / Grant's Ales
Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Yakima Brewing and Malting / Grant's Ales
Blond Barleywine,4.5,10.0,Undefined-Ignore,Rubicon Brewing
Export,4.5,10.0,Undefined-Ignore,Etna Brewing
Hammerhead Barleywine 1990,4.5,10.0,Undefined-Ignore,Pacific Coast Brewing
Cask ESB,4.5,10.0,Undefined-Ignore,Pacific Coast Brewing
Holiday Scottish Strong Ale,4.5,10.0,Scotch Ale,Pacific Coast Brewing
Gray Whale,4.5,10.0,American-Style Pale Ale,Pacific Coast Brewing
Imperial Stout,8.0,10.0,American-Style Stout,Pacific Coast Brewing
Harvest Wheat,4.5,10.0,American-Style Lager,Pacific Coast Brewing
Jolly Roger,9.0,10.0,Undefined-Ignore,Drake's Brewing
Sir Francis Stout,4.5,10.0,American-Style Stout,Drake's Brewing
Maibock,4.5,10.0,Traditional German-Style Bock,Drake's Brewing
Hibernator Winter Ale,4.5,10.0,Undefined-Ignore,Golden Pacific Brewing
Pale Ale,4.5,10.0,American-Style Pale Ale,Golden Pacific Brewing
Golden Gate Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Golden Pacific Brewing
Golden Gate Copper Ale,4.5,10.0,American-Style Amber/Red Ale,Golden Pacific Brewing
Golden Bear Lager,4.5,10.0,American-Style Lager,Golden Pacific Brewing
Dunkel Hefeweizen,4.5,10.0,Undefined-Ignore,Lost Coast Brewery
Great White Beer,4.5,10.0,Undefined-Ignore,Lost Coast Brewery
Indica India Pale Ale,6.5,10.0,American-Style Pale Ale,Lost Coast Brewery
Pale Ale,4.5,10.0,American-Style Pale Ale,Lost Coast Brewery
Downtown Brown,5.0,10.0,American-Style Brown Ale,Lost Coast Brewery
8-Ball Stout,4.5,10.0,American-Style Stout,Lost Coast Brewery
Hefeweizen,4.5,10.0,American-Style Lager,Lost Coast Brewery
Harvest Gold,4.5,10.0,Undefined-Ignore,Beach Brewing
Hornet Tail IPA,4.5,10.0,American-Style India Pale Ale,Beach Brewing
Red Rock,4.5,10.0,American-Style Amber/Red Ale,Beach Brewing
Magic Brew,4.5,10.0,American-Style Brown Ale,Beach Brewing
Honey and Ginger Ale,4.0,10.0,Undefined-Ignore,Humboldt Brewing
Hemp Ale,4.5,10.0,Undefined-Ignore,Humboldt Brewing
Summer Nectar Wheat Ale,4.5,10.0,Undefined-Ignore,Humboldt Brewing
Storm Cellar Porter,5.7,10.0,Porter,Humboldt Brewing
Gold Rush,4.5,10.0,American-Style Pale Ale,Humboldt Brewing
Pale Ale,4.5,10.0,American-Style Pale Ale,Humboldt Brewing
Gold Nectar,4.5,10.0,American-Style Pale Ale,Humboldt Brewing
Nectar IPA,6.8,10.0,American-Style India Pale Ale,Humboldt Brewing
Redwood Amber,4.5,10.0,American-Style Amber/Red Ale,Humboldt Brewing
Red Nectar,5.0,10.0,American-Style Amber/Red Ale,Humboldt Brewing
Stout,4.5,10.0,American-Style Stout,Humboldt Brewing
Black Xantus,14.5,10.0,American-Style Imperial Stout,Humboldt Brewing
Capt'n Krunkles,4.5,10.0,Undefined-Ignore,Terrapin Beer Company
Terrapin All-American Imperial Pilsner,7.5,10.0,Undefined-Ignore,Terrapin Beer Company
Terrapin Midnight Project Depth Charge Espresso Milk Stout,8.0,10.0,Sweet Stout,Terrapin Beer Company
Terrapin Rye Pale Ale,5.5,10.0,American-Style Pale Ale,Terrapin Beer Company
Hopsecutioner,7.2,10.0,American-Style India Pale Ale,Terrapin Beer Company
Rye Squared,9.5,10.0,Imperial or Double India Pale Ale,Terrapin Beer Company
Big Hoppy Monster,8.75,10.0,American-Style Amber/Red Ale,Terrapin Beer Company
The Iron Tankard,9.4,10.0,American-Style Amber/Red Ale,Terrapin Beer Company
India Style Brown Ale,6.0,10.0,American-Style Brown Ale,Terrapin Beer Company
Terrapin Coffee Oatmeal Imperial Stout,8.6,10.0,American-Style Imperial Stout,Terrapin Beer Company
Terrapin Monk's Revenge,9.8,10.0,Other Belgian-Style Ales,Terrapin Beer Company
Terrapin Golden Ale,5.0,10.0,American-Style Cream Ale or Lager,Terrapin Beer Company
SunRay Wheat Beer,4.7,10.0,Light American Wheat Ale or Lager,Terrapin Beer Company
American Pilsner,4.5,10.0,Undefined-Ignore,Murphy's Wagon Wheel
Red Ale,4.5,10.0,American-Style Amber/Red Ale,Murphy's Wagon Wheel
Bock Dark,4.5,10.0,Traditional German-Style Bock,Murphy's Wagon Wheel
Wheat,4.5,10.0,American-Style Lager,Murphy's Wagon Wheel
Beer,4.5,10.0,Undefined-Ignore,Kentucky Hemp Beer Company
Extra Special Bitter Ale,4.5,10.0,Undefined-Ignore,Oasis Brewery Annex
Brown Ale,4.5,10.0,American-Style Brown Ale,Oasis Brewery Annex
Moss Bay Extra,4.5,10.0,Undefined-Ignore,Hale's Ales #3
Drawbridge Blonde,4.5,10.0,Undefined-Ignore,Hale's Ales #3
Wee Heavy Winter Ale,4.5,10.0,Scotch Ale,Hale's Ales #3
Troll Porter,4.5,10.0,Porter,Hale's Ales #3
Pale Ale,4.5,10.0,American-Style Pale Ale,Hale's Ales #3
Mongoose IPA,4.5,10.0,American-Style India Pale Ale,Hale's Ales #3
Red Menace Big Amber,4.5,10.0,American-Style Amber/Red Ale,Hale's Ales #3
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Hale's Ales #3
El Jefe Weizen Ale,4.5,10.0,South German-Style Hefeweizen,Hale's Ales #3
Walnut Buffalo Gold Premium Ale,4.5,10.0,Undefined-Ignore,Rock Bottom Restaurant & Brewery - South Denver
Blonde Ale,4.5,10.0,Undefined-Ignore,Barley Brothers Brewery and Grill
Bighorn IPA,4.5,10.0,American-Style India Pale Ale,Barley Brothers Brewery and Grill
Beachballs Red Ale,4.5,10.0,American-Style Brown Ale,Barley Brothers Brewery and Grill
Kickstart Oatmeal Stout,4.5,10.0,American-Style Stout,Barley Brothers Brewery and Grill
Tripppleberry Wheat,4.5,10.0,Light American Wheat Ale or Lager,Barley Brothers Brewery and Grill
Voluptuous Blonde,4.5,10.0,Undefined-Ignore,Bootleggers Steakhouse and Brewery
34th Street Porter,4.5,10.0,Porter,Bootleggers Steakhouse and Brewery
Irish Red,4.5,10.0,American-Style Pale Ale,Bootleggers Steakhouse and Brewery
Bourbon Street Stout,4.5,10.0,American-Style Stout,Bootleggers Steakhouse and Brewery
Summer Wheat,4.5,10.0,American-Style Lager,Bootleggers Steakhouse and Brewery
Double ZZ Raspberry Wheat,4.5,10.0,Light American Wheat Ale or Lager,Bootleggers Steakhouse and Brewery
Barleywine,4.5,10.0,Undefined-Ignore,Coast Range Brewing
Auld Lang Syne,4.5,10.0,Undefined-Ignore,Coast Range Brewing
California Blonde Ale,4.5,10.0,Undefined-Ignore,Coast Range Brewing
Desperado Pale Ale,4.5,10.0,American-Style Pale Ale,Coast Range Brewing
Golden Bitter,4.5,10.0,Undefined-Ignore,Magnolia Pub and Brewery
Krí_lsch,4.5,10.0,Undefined-Ignore,Magnolia Pub and Brewery
Blue Bell Bitter,5.4,10.0,Special Bitter or Best Bitter,Magnolia Pub and Brewery
Cole Porter,4.5,10.0,Porter,Magnolia Pub and Brewery
Prescription Pale,4.5,10.0,American-Style Pale Ale,Magnolia Pub and Brewery
Stout of Circumstance,4.5,10.0,American-Style Stout,Magnolia Pub and Brewery
Rauchbier,4.5,10.0,Undefined-Ignore,HC Berger Brewing
Colorado Kí_lsch Ale,4.5,10.0,Undefined-Ignore,HC Berger Brewing
Chocolate Stout,4.5,10.0,American-Style Stout,HC Berger Brewing
Red Raspberry,4.5,10.0,Light American Wheat Ale or Lager,HC Berger Brewing
Gingerwheat,4.5,10.0,Undefined-Ignore,Trade Winds Brewing
Sunset Ale,4.5,10.0,American-Style Pale Ale,Trade Winds Brewing
Kuaipa,4.5,10.0,American-Style India Pale Ale,Trade Winds Brewing
Paniolo Ale,4.5,10.0,American-Style Amber/Red Ale,Trade Winds Brewing
Hula Berry,4.5,10.0,Light American Wheat Ale or Lager,Trade Winds Brewing
Amarossa,4.5,10.0,Undefined-Ignore,Salado Creek Brewing Company
Honey Bock,4.5,10.0,Traditional German-Style Bock,Salado Creek Brewing Company
Amber,4.5,10.0,American-Style Lager,Salado Creek Brewing Company
Scottish Ale,4.5,10.0,Undefined-Ignore,Hoffbrau Steaks Brewery #2
Dunkel Weizen,4.5,10.0,Undefined-Ignore,Hoffbrau Steaks Brewery #2
Rodeo Red,4.5,10.0,American-Style Pale Ale,Hoffbrau Steaks Brewery #2
Buffalo Ale,4.5,10.0,American-Style Amber/Red Ale,Hoffbrau Steaks Brewery #2
Shawnee Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Hoffbrau Steaks Brewery #2
Windmill Wheat Ale,4.5,10.0,South German-Style Hefeweizen,Hoffbrau Steaks Brewery #2
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Hoffbrau Steaks Brewery #2
Red Lager,4.5,10.0,American-Style Lager,Hoffbrau Steaks Brewery #2
Yellow Rose Cream Ale,4.5,10.0,American-Style Lager,Hoffbrau Steaks Brewery #2
