beer,abv,ibu,style,brewery
471 Extra ESB,7.8,10.0,Undefined-Ignore,Breckenridge Brewery
Summer Bright Ale,4.5,10.0,Undefined-Ignore,Breckenridge Brewery
Lucky U Denver Special Bitter,4.5,10.0,Undefined-Ignore,Breckenridge Brewery
471 Pilsner,4.5,10.0,Undefined-Ignore,Breckenridge Brewery
Remarkable Vanilla Porter,4.5,10.0,Porter,Breckenridge Brewery
Trademark English Pale,4.5,10.0,American-Style Pale Ale,Breckenridge Brewery
471 Double IPA,9.2,10.0,American-Style India Pale Ale,Breckenridge Brewery
471 IPA,9.2,10.0,Imperial or Double India Pale Ale,Breckenridge Brewery
Avalanche Amber,5.4,10.0,American-Style Amber/Red Ale,Breckenridge Brewery
Avalanche Amber,4.5,10.0,American-Style Amber/Red Ale,Breckenridge Brewery
Autumn Ale,6.7,10.0,American-Style Brown Ale,Breckenridge Brewery
Christmas Ale,4.5,10.0,American-Style Brown Ale,Breckenridge Brewery
Oatmeal Stout,4.5,10.0,American-Style Stout,Breckenridge Brewery
Thunder Stout,4.95,10.0,American-Style Stout,Breckenridge Brewery
Hefe Proper Ale,4.5,10.0,American-Style Lager,Breckenridge Brewery
Mountain Wheat,4.5,10.0,American-Style Lager,Breckenridge Brewery
Haymaker Extra Pale Ale,4.5,10.0,Undefined-Ignore,BridgePort Brewing
Old Knucklehead 2003,9.1,10.0,Undefined-Ignore,BridgePort Brewing
Blue Heron Pale Ale,4.9,10.0,Undefined-Ignore,BridgePort Brewing
ESB,6.1,10.0,Undefined-Ignore,BridgePort Brewing
Old Knucklehead 1992,4.5,10.0,Undefined-Ignore,BridgePort Brewing
Old Knucklehead 1997,4.5,10.0,Undefined-Ignore,BridgePort Brewing
Old Knucklehead 1999,4.5,10.0,Undefined-Ignore,BridgePort Brewing
Old Knucklehead 2000,9.1,10.0,Undefined-Ignore,BridgePort Brewing
Bottle Conditioned Porter,5.5,10.0,Porter,BridgePort Brewing
Porter,4.5,10.0,Porter,BridgePort Brewing
Bridgeport India Pale Ale,5.5,10.0,American-Style India Pale Ale,BridgePort Brewing
Beer Town Brown,4.5,10.0,American-Style Brown Ale,BridgePort Brewing
Black Strap Stout,6.0,10.0,American-Style Stout,BridgePort Brewing
Irish Style Ale,5.2,10.0,Undefined-Ignore,Dick's Brewing
Double Diamond Winter,8.5,10.0,Undefined-Ignore,Dick's Brewing
Grand Cru,14.5,10.0,Undefined-Ignore,Dick's Brewing
Best Bitter,5.5,10.0,Undefined-Ignore,Dick's Brewing
Barley Wine Ale,14.5,10.0,Undefined-Ignore,Dick's Brewing
Lava Rock Porter,7.0,10.0,Porter,Dick's Brewing
Pale Ale,4.5,10.0,American-Style Pale Ale,Dick's Brewing
Silk Lady,4.4,10.0,American-Style Pale Ale,Dick's Brewing
Bottleworks IPA,8.5,10.0,American-Style India Pale Ale,Dick's Brewing
IPA,5.5,10.0,American-Style India Pale Ale,Dick's Brewing
Danger Ale,5.2,10.0,American-Style Brown Ale,Dick's Brewing
Cream Stout,4.5,10.0,American-Style Stout,Dick's Brewing
Bond Street 19th Anniversary,8.7,10.0,Undefined-Ignore,Deschutes Brewery
Bachelor Bitter,5.4,10.0,Ordinary Bitter,Deschutes Brewery
Bachelor ESB,5.3,10.0,Extra Special Bitter,Deschutes Brewery
Jubel 2000,4.5,10.0,Old Ale,Deschutes Brewery
Black Butte Porter,5.2,10.0,Porter,Deschutes Brewery
Black Butte XXI,11.0,10.0,Porter,Deschutes Brewery
Hop Trip Fresh Hop Pale Ale,5.5,10.0,American-Style Pale Ale,Deschutes Brewery
Mirrorpond Pale Ale,5.0,10.0,American-Style Pale Ale,Deschutes Brewery
Cascade Golden Ale,4.5,10.0,American-Style Pale Ale,Deschutes Brewery
Twilight Ale,5.0,10.0,American-Style Pale Ale,Deschutes Brewery
Inversion IPA,6.8,10.0,American-Style India Pale Ale,Deschutes Brewery
Quail Springs IPA,6.0,10.0,American-Style India Pale Ale,Deschutes Brewery
Red Chair IPA,6.4,10.0,American-Style India Pale Ale,Deschutes Brewery
Hop Henge Imperial IPA,8.75,10.0,Imperial or Double India Pale Ale,Deschutes Brewery
Cinder Cone Red,5.4,10.0,American-Style Amber/Red Ale,Deschutes Brewery
Green Lakes Organic Ale,5.2,10.0,American-Style Amber/Red Ale,Deschutes Brewery
Mirror Mirror,11.0,10.0,American-Style Barley Wine Ale,Deschutes Brewery
Buzzsaw Brown,4.8,10.0,American-Style Brown Ale,Deschutes Brewery
Obsidian Stout,6.4,10.0,American-Style Stout,Deschutes Brewery
The Abyss,11.0,10.0,American-Style Imperial Stout,Deschutes Brewery
Brocken Top Bock,6.0,10.0,Traditional German-Style Bock,Deschutes Brewery
Jubelale,6.7,10.0,Winter Warmer,Deschutes Brewery
Fourteen,9.46,10.0,Undefined-Ignore,Avery Brewing Company
Samael's Oak-aged Ale,14.5,41.0,Strong Ale,Avery Brewing Company
Old Jubilation Ale,8.0,310.0,Strong Ale,Avery Brewing Company
"Maharaja, The",14.55,10.0,Imperial or Double India Pale Ale,Avery Brewing Company
Ale To The Chief,8.75,10.0,Imperial or Double India Pale Ale,Avery Brewing Company
DuganA IPA,8.5,10.0,Imperial or Double India Pale Ale,Avery Brewing Company
Hog Heaven Barleywine,9.2,10.0,American-Style Barley Wine Ale,Avery Brewing Company
Mephistopheles Stout,16.45,10.0,American-Style Stout,Avery Brewing Company
Czar Imperial Stout,11.9,10.0,American-Style Stout,Avery Brewing Company
"Reverend, The",14.5,10.0,Belgian-Style Quadrupel,Avery Brewing Company
Karma,5.2,10.0,Belgian-Style Pale Ale,Avery Brewing Company
The Beast Grand Cru,14.9,10.0,Belgian-Style Dark Strong Ale,Avery Brewing Company
Salvation,9.0,10.0,Other Belgian-Style Ales,Avery Brewing Company
WPA (Wheat Pale Ale),4.5,10.0,Undefined-Ignore,Minneapolis Town Hall Brewery
Tripel Vision,4.5,10.0,Undefined-Ignore,Minneapolis Town Hall Brewery
Oak Aged Single Malt,4.5,10.0,Undefined-Ignore,Minneapolis Town Hall Brewery
West Bank Pub Ale,4.6,10.0,Classic English-Style Pale Ale,Minneapolis Town Hall Brewery
Hope & King Scotch Ale,6.0,10.0,Scotch Ale,Minneapolis Town Hall Brewery
Black H2O Oatmeal Stout,6.2,10.0,Oatmeal Stout,Minneapolis Town Hall Brewery
Masala Mama IPA,5.9,10.0,American-Style India Pale Ale,Minneapolis Town Hall Brewery
Bright Spot Golden Ale,4.5,10.0,Golden or Blonde Ale,Minneapolis Town Hall Brewery
Smoked Hefe,4.5,10.0,American-Style Lager,Minneapolis Town Hall Brewery
Smoked Porter,4.5,10.0,American-Style Lager,Minneapolis Town Hall Brewery
Smoked Helles Lager,4.5,10.0,American-Style Lager,Minneapolis Town Hall Brewery
Thunderstorm,4.5,10.0,Light American Wheat Ale or Lager,Minneapolis Town Hall Brewery
Samurai,5.1,10.0,Undefined-Ignore,Great Divide Brewing
Great Divide Dunkel Weiss,6.4,10.0,Undefined-Ignore,Great Divide Brewing
Hot Shot ESB,5.0,10.0,Extra Special Bitter,Great Divide Brewing
Hibernation Ale,8.1,10.0,Old Ale,Great Divide Brewing
Claymore Scotch Ale,4.5,10.0,Scotch Ale,Great Divide Brewing
St. Bridget's Porter,5.9,10.0,Porter,Great Divide Brewing
Denver Pale Ale / DPA,5.4,10.0,American-Style Pale Ale,Great Divide Brewing
Fresh Hop Pale Ale,6.1,10.0,American-Style Pale Ale,Great Divide Brewing
