beer,abv,ibu,style,brewery,city,state
Grand Cru,4.5,10.0,Undefined-Ignore,Thunderhead Brewery #2,Grand Island,Nebraska
Nitro Porter,4.5,10.0,Porter,Thunderhead Brewery #2,Grand Island,Nebraska
Imperial Porter,4.5,10.0,Porter,Thunderhead Brewery #2,Grand Island,Nebraska
Modern Monks Belgian Blonde,4.5,10.0,American-Style Pale Ale,Thunderhead Brewery #2,Grand Island,Nebraska
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Thunderhead Brewery #2,Grand Island,Nebraska
Espresso Porter,4.5,10.0,Undefined-Ignore,Montana Brewing,Billings,Montana
Stillwater Rye,4.5,10.0,Undefined-Ignore,Montana Brewing,Billings,Montana
Sandbagger Gold,4.5,10.0,Undefined-Ignore,Montana Brewing,Billings,Montana
Harvest Ale,4.5,10.0,American-Style Pale Ale,Montana Brewing,Billings,Montana
Sharptail Pale Ale,4.5,10.0,American-Style Pale Ale,Montana Brewing,Billings,Montana
Billings IPA,4.5,10.0,American-Style India Pale Ale,Montana Brewing,Billings,Montana
Fat Belly Amber,4.5,10.0,American-Style Amber/Red Ale,Montana Brewing,Billings,Montana
Whitetail Wheat,4.5,10.0,American-Style Lager,Montana Brewing,Billings,Montana
La Folie Falling Rock,6.0,10.0,Undefined-Ignore,New Belgium Brewing,Fort Collins,Colorado
Mothership Wit,4.8,10.0,Undefined-Ignore,New Belgium Brewing,Fort Collins,Colorado
La Folie,6.0,10.0,Undefined-Ignore,New Belgium Brewing,Fort Collins,Colorado
Saison,4.5,10.0,Undefined-Ignore,New Belgium Brewing,Fort Collins,Colorado
2íÁ Below,6.6,10.0,Extra Special Bitter,New Belgium Brewing,Fort Collins,Colorado
Big Shot Seasonal Ale,4.5,10.0,Porter,New Belgium Brewing,Fort Collins,Colorado
Ranger India Pale Ale,6.5,10.0,American-Style India Pale Ale,New Belgium Brewing,Fort Collins,Colorado
Skinny Dip,4.2,10.0,Golden or Blonde Ale,New Belgium Brewing,Fort Collins,Colorado
Abbey Belgian Style Ale,7.0,10.0,Belgian-Style Dubbel,New Belgium Brewing,Fort Collins,Colorado
New Belgium Trippel Belgian Style Ale,8.5,10.0,Belgian-Style Tripel,New Belgium Brewing,Fort Collins,Colorado
Frambozen,4.5,10.0,Belgian-Style Fruit Lambic,New Belgium Brewing,Fort Collins,Colorado
1554 Enlightened Black Ale,5.5,10.0,Other Belgian-Style Ales,New Belgium Brewing,Fort Collins,Colorado
Blue Paddle Pilsener,4.8,10.0,German-Style Pilsener,New Belgium Brewing,Fort Collins,Colorado
Sunshine Wheat,4.8,10.0,Light American Wheat Ale or Lager,New Belgium Brewing,Fort Collins,Colorado
Triple Dipsea Belgian,9.2,10.0,Undefined-Ignore,Marin Brewing,Larkspur Landing,California
Hoppy Holidaze,4.5,10.0,Undefined-Ignore,Marin Brewing,Larkspur Landing,California
Point Reyes Porter,4.5,10.0,Porter,Marin Brewing,Larkspur Landing,California
Eldridge Grade White Knuckle Ale,4.5,10.0,American-Style Pale Ale,Marin Brewing,Larkspur Landing,California
I.P.A.,4.5,10.0,American-Style Pale Ale,Marin Brewing,Larkspur Landing,California
Mt.Tam Pale Ale,5.8,10.0,American-Style Pale Ale,Marin Brewing,Larkspur Landing,California
Albion Amber Ale,4.9,10.0,American-Style Brown Ale,Marin Brewing,Larkspur Landing,California
Hefe Weiss,5.1,10.0,American-Style Lager,Marin Brewing,Larkspur Landing,California
Imperial Hefeweizen,7.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
ESB,4.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Thomas Kemper Belgian White,4.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Snow Cap Ale,4.5,10.0,Old Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Thomas Kemper Porter,4.5,10.0,Porter,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Porter,4.5,10.0,Porter,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Pale,4.5,10.0,American-Style Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
DPA,4.5,10.0,American-Style Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
IPA,4.5,10.0,American-Style India Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Best Brown,4.5,10.0,American-Style Brown Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Stout,4.5,10.0,American-Style Stout,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Thomas Kemper HefeWeizen,4.5,10.0,South German-Style Hefeweizen,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Oktoberfest,4.5,10.0,German-Style Oktoberfest,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
