beer,abv,ibu,style,brewery,city,state
Maibock,4.5,10.0,Traditional German-Style Bock,Drake's Brewing,San Leandro,California
Hibernator Winter Ale,4.5,10.0,Undefined-Ignore,Golden Pacific Brewing,Berkeley,California
Pale Ale,4.5,10.0,American-Style Pale Ale,Golden Pacific Brewing,Berkeley,California
Golden Gate Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Golden Pacific Brewing,Berkeley,California
Golden Gate Copper Ale,4.5,10.0,American-Style Amber/Red Ale,Golden Pacific Brewing,Berkeley,California
Golden Bear Lager,4.5,10.0,American-Style Lager,Golden Pacific Brewing,Berkeley,California
Dunkel Hefeweizen,4.5,10.0,Undefined-Ignore,Lost Coast Brewery,Eureka,California
Great White Beer,4.5,10.0,Undefined-Ignore,Lost Coast Brewery,Eureka,California
Indica India Pale Ale,6.5,10.0,American-Style Pale Ale,Lost Coast Brewery,Eureka,California
Pale Ale,4.5,10.0,American-Style Pale Ale,Lost Coast Brewery,Eureka,California
Downtown Brown,5.0,10.0,American-Style Brown Ale,Lost Coast Brewery,Eureka,California
8-Ball Stout,4.5,10.0,American-Style Stout,Lost Coast Brewery,Eureka,California
Hefeweizen,4.5,10.0,American-Style Lager,Lost Coast Brewery,Eureka,California
Harvest Gold,4.5,10.0,Undefined-Ignore,Beach Brewing,Orlando,Florida
Hornet Tail IPA,4.5,10.0,American-Style India Pale Ale,Beach Brewing,Orlando,Florida
Red Rock,4.5,10.0,American-Style Amber/Red Ale,Beach Brewing,Orlando,Florida
Magic Brew,4.5,10.0,American-Style Brown Ale,Beach Brewing,Orlando,Florida
Honey and Ginger Ale,4.0,10.0,Undefined-Ignore,Humboldt Brewing,Arcata,California
Hemp Ale,4.5,10.0,Undefined-Ignore,Humboldt Brewing,Arcata,California
Summer Nectar Wheat Ale,4.5,10.0,Undefined-Ignore,Humboldt Brewing,Arcata,California
Storm Cellar Porter,5.7,10.0,Porter,Humboldt Brewing,Arcata,California
Gold Rush,4.5,10.0,American-Style Pale Ale,Humboldt Brewing,Arcata,California
Pale Ale,4.5,10.0,American-Style Pale Ale,Humboldt Brewing,Arcata,California
Gold Nectar,4.5,10.0,American-Style Pale Ale,Humboldt Brewing,Arcata,California
Nectar IPA,6.8,10.0,American-Style India Pale Ale,Humboldt Brewing,Arcata,California
Redwood Amber,4.5,10.0,American-Style Amber/Red Ale,Humboldt Brewing,Arcata,California
Red Nectar,5.0,10.0,American-Style Amber/Red Ale,Humboldt Brewing,Arcata,California
Stout,4.5,10.0,American-Style Stout,Humboldt Brewing,Arcata,California
Black Xantus,14.5,10.0,American-Style Imperial Stout,Humboldt Brewing,Arcata,California
Capt'n Krunkles,4.5,10.0,Undefined-Ignore,Terrapin Beer Company,Athens,Georgia
Terrapin All-American Imperial Pilsner,7.5,10.0,Undefined-Ignore,Terrapin Beer Company,Athens,Georgia
Terrapin Midnight Project Depth Charge Espresso Milk Stout,8.0,10.0,Sweet Stout,Terrapin Beer Company,Athens,Georgia
Terrapin Rye Pale Ale,5.5,10.0,American-Style Pale Ale,Terrapin Beer Company,Athens,Georgia
Hopsecutioner,7.2,10.0,American-Style India Pale Ale,Terrapin Beer Company,Athens,Georgia
Rye Squared,9.5,10.0,Imperial or Double India Pale Ale,Terrapin Beer Company,Athens,Georgia
Big Hoppy Monster,8.75,10.0,American-Style Amber/Red Ale,Terrapin Beer Company,Athens,Georgia
The Iron Tankard,9.4,10.0,American-Style Amber/Red Ale,Terrapin Beer Company,Athens,Georgia
India Style Brown Ale,6.0,10.0,American-Style Brown Ale,Terrapin Beer Company,Athens,Georgia
Terrapin Coffee Oatmeal Imperial Stout,8.6,10.0,American-Style Imperial Stout,Terrapin Beer Company,Athens,Georgia
Terrapin Monk's Revenge,9.8,10.0,Other Belgian-Style Ales,Terrapin Beer Company,Athens,Georgia
Terrapin Golden Ale,5.0,10.0,American-Style Cream Ale or Lager,Terrapin Beer Company,Athens,Georgia
SunRay Wheat Beer,4.7,10.0,Light American Wheat Ale or Lager,Terrapin Beer Company,Athens,Georgia
American Pilsner,4.5,10.0,Undefined-Ignore,Murphy's Wagon Wheel,Hastings,Nebraska
Red Ale,4.5,10.0,American-Style Amber/Red Ale,Murphy's Wagon Wheel,Hastings,Nebraska
Bock Dark,4.5,10.0,Traditional German-Style Bock,Murphy's Wagon Wheel,Hastings,Nebraska
Wheat,4.5,10.0,American-Style Lager,Murphy's Wagon Wheel,Hastings,Nebraska
Beer,4.5,10.0,Undefined-Ignore,Kentucky Hemp Beer Company,Lexington,Kentucky
Extra Special Bitter Ale,4.5,10.0,Undefined-Ignore,Oasis Brewery Annex,Boulder,Colorado
Brown Ale,4.5,10.0,American-Style Brown Ale,Oasis Brewery Annex,Boulder,Colorado
Moss Bay Extra,4.5,10.0,Undefined-Ignore,Hale's Ales #3,Seattle,Washington
Drawbridge Blonde,4.5,10.0,Undefined-Ignore,Hale's Ales #3,Seattle,Washington
Wee Heavy Winter Ale,4.5,10.0,Scotch Ale,Hale's Ales #3,Seattle,Washington
Troll Porter,4.5,10.0,Porter,Hale's Ales #3,Seattle,Washington
Pale Ale,4.5,10.0,American-Style Pale Ale,Hale's Ales #3,Seattle,Washington
Mongoose IPA,4.5,10.0,American-Style India Pale Ale,Hale's Ales #3,Seattle,Washington
Red Menace Big Amber,4.5,10.0,American-Style Amber/Red Ale,Hale's Ales #3,Seattle,Washington
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Hale's Ales #3,Seattle,Washington
El Jefe Weizen Ale,4.5,10.0,South German-Style Hefeweizen,Hale's Ales #3,Seattle,Washington
Walnut Buffalo Gold Premium Ale,4.5,10.0,Undefined-Ignore,Rock Bottom Restaurant & Brewery - South Denver,Englewood,Colorado
Blonde Ale,4.5,10.0,Undefined-Ignore,Barley Brothers Brewery and Grill,Lake Havasu City,Arizona
Bighorn IPA,4.5,10.0,American-Style India Pale Ale,Barley Brothers Brewery and Grill,Lake Havasu City,Arizona
Beachballs Red Ale,4.5,10.0,American-Style Brown Ale,Barley Brothers Brewery and Grill,Lake Havasu City,Arizona
Kickstart Oatmeal Stout,4.5,10.0,American-Style Stout,Barley Brothers Brewery and Grill,Lake Havasu City,Arizona
Tripppleberry Wheat,4.5,10.0,Light American Wheat Ale or Lager,Barley Brothers Brewery and Grill,Lake Havasu City,Arizona
Voluptuous Blonde,4.5,10.0,Undefined-Ignore,Bootleggers Steakhouse and Brewery,Bakersfield,California
34th Street Porter,4.5,10.0,Porter,Bootleggers Steakhouse and Brewery,Bakersfield,California
Irish Red,4.5,10.0,American-Style Pale Ale,Bootleggers Steakhouse and Brewery,Bakersfield,California
Bourbon Street Stout,4.5,10.0,American-Style Stout,Bootleggers Steakhouse and Brewery,Bakersfield,California
Summer Wheat,4.5,10.0,American-Style Lager,Bootleggers Steakhouse and Brewery,Bakersfield,California
Double ZZ Raspberry Wheat,4.5,10.0,Light American Wheat Ale or Lager,Bootleggers Steakhouse and Brewery,Bakersfield,California
Barleywine,4.5,10.0,Undefined-Ignore,Coast Range Brewing,Gilroy,California
Auld Lang Syne,4.5,10.0,Undefined-Ignore,Coast Range Brewing,Gilroy,California
California Blonde Ale,4.5,10.0,Undefined-Ignore,Coast Range Brewing,Gilroy,California
Desperado Pale Ale,4.5,10.0,American-Style Pale Ale,Coast Range Brewing,Gilroy,California
Golden Bitter,4.5,10.0,Undefined-Ignore,Magnolia Pub and Brewery,San Francisco,California
Krí_lsch,4.5,10.0,Undefined-Ignore,Magnolia Pub and Brewery,San Francisco,California
Blue Bell Bitter,5.4,10.0,Special Bitter or Best Bitter,Magnolia Pub and Brewery,San Francisco,California
Cole Porter,4.5,10.0,Porter,Magnolia Pub and Brewery,San Francisco,California
Prescription Pale,4.5,10.0,American-Style Pale Ale,Magnolia Pub and Brewery,San Francisco,California
Stout of Circumstance,4.5,10.0,American-Style Stout,Magnolia Pub and Brewery,San Francisco,California
Rauchbier,4.5,10.0,Undefined-Ignore,HC Berger Brewing,Fort Collins,Colorado
Colorado Kí_lsch Ale,4.5,10.0,Undefined-Ignore,HC Berger Brewing,Fort Collins,Colorado
Chocolate Stout,4.5,10.0,American-Style Stout,HC Berger Brewing,Fort Collins,Colorado
Red Raspberry,4.5,10.0,Light American Wheat Ale or Lager,HC Berger Brewing,Fort Collins,Colorado
Gingerwheat,4.5,10.0,Undefined-Ignore,Trade Winds Brewing,Wailuku,Hawaii
Sunset Ale,4.5,10.0,American-Style Pale Ale,Trade Winds Brewing,Wailuku,Hawaii
Kuaipa,4.5,10.0,American-Style India Pale Ale,Trade Winds Brewing,Wailuku,Hawaii
Paniolo Ale,4.5,10.0,American-Style Amber/Red Ale,Trade Winds Brewing,Wailuku,Hawaii
Hula Berry,4.5,10.0,Light American Wheat Ale or Lager,Trade Winds Brewing,Wailuku,Hawaii
Amarossa,4.5,10.0,Undefined-Ignore,Salado Creek Brewing Company,San Antonio,Texas
Honey Bock,4.5,10.0,Traditional German-Style Bock,Salado Creek Brewing Company,San Antonio,Texas
Amber,4.5,10.0,American-Style Lager,Salado Creek Brewing Company,San Antonio,Texas
Scottish Ale,4.5,10.0,Undefined-Ignore,Hoffbrau Steaks Brewery #2,Dallas,Texas
Dunkel Weizen,4.5,10.0,Undefined-Ignore,Hoffbrau Steaks Brewery #2,Dallas,Texas
Rodeo Red,4.5,10.0,American-Style Pale Ale,Hoffbrau Steaks Brewery #2,Dallas,Texas
Buffalo Ale,4.5,10.0,American-Style Amber/Red Ale,Hoffbrau Steaks Brewery #2,Dallas,Texas
Shawnee Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Hoffbrau Steaks Brewery #2,Dallas,Texas
Windmill Wheat Ale,4.5,10.0,South German-Style Hefeweizen,Hoffbrau Steaks Brewery #2,Dallas,Texas
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Hoffbrau Steaks Brewery #2,Dallas,Texas
Red Lager,4.5,10.0,American-Style Lager,Hoffbrau Steaks Brewery #2,Dallas,Texas
Yellow Rose Cream Ale,4.5,10.0,American-Style Lager,Hoffbrau Steaks Brewery #2,Dallas,Texas
Cask Scotch Ale,4.5,10.0,Undefined-Ignore,Yegua Creek Brewing - Dallas,Dallas,Texas
Icehaus Pale Ale,4.5,10.0,American-Style Pale Ale,Yegua Creek Brewing - Dallas,Dallas,Texas
White Rock Red,4.5,10.0,American-Style Amber/Red Ale,Yegua Creek Brewing - Dallas,Dallas,Texas
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Yegua Creek Brewing - Dallas,Dallas,Texas
Golden Wheat,4.5,10.0,American-Style Lager,Yegua Creek Brewing - Dallas,Dallas,Texas
Blueberry Blonde,4.5,10.0,Light American Wheat Ale or Lager,Yegua Creek Brewing - Dallas,Dallas,Texas
Light Ale,4.5,10.0,Undefined-Ignore,Routh Street Brewery and Grille,Dallas,Texas
Classic Pale,4.5,10.0,American-Style Pale Ale,Routh Street Brewery and Grille,Dallas,Texas
Dusseldorf-Style Altbier,4.5,10.0,American-Style Brown Ale,Routh Street Brewery and Grille,Dallas,Texas
Brown,4.5,10.0,American-Style Brown Ale,Routh Street Brewery and Grille,Dallas,Texas
Big Black Stout,4.5,10.0,American-Style Stout,Routh Street Brewery and Grille,Dallas,Texas
Bavarian Wheat,4.5,10.0,South German-Style Hefeweizen,Routh Street Brewery and Grille,Dallas,Texas
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Routh Street Brewery and Grille,Dallas,Texas
Pilsner,4.5,10.0,American-Style Lager,Routh Street Brewery and Grille,Dallas,Texas
Dunkelweizen,4.5,10.0,Undefined-Ignore,Schooner Brewery,Dallas,Texas
Pegasus Pilsner,4.5,10.0,Undefined-Ignore,Schooner Brewery,Dallas,Texas
Vail Pale Ale,4.5,10.0,American-Style Pale Ale,Schooner Brewery,Dallas,Texas
Ranger Red,4.5,10.0,American-Style Amber/Red Ale,Schooner Brewery,Dallas,Texas
Downtown Brown,4.5,10.0,American-Style Brown Ale,Schooner Brewery,Dallas,Texas
Rainbow Trout Stout,4.5,10.0,American-Style Stout,Schooner Brewery,Dallas,Texas
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Schooner Brewery,Dallas,Texas
Double Eagle Scotch Ale,5.8,10.0,Undefined-Ignore,Pinehurst Village Brewery,Aberdeen,North Carolina
"Double Eagle \High-Test\"" Scotch Ale""",8.0,10.0,Scotch Ale,Pinehurst Village Brewery,Aberdeen,North Carolina
Double Eagle Golden Ale,4.5,10.0,American-Style Pale Ale,Pinehurst Village Brewery,Aberdeen,North Carolina
Double Eagle Brown Ale,4.5,10.0,American-Style Brown Ale,Pinehurst Village Brewery,Aberdeen,North Carolina
Bitter,4.5,10.0,Undefined-Ignore,Top of the Hill Restaurant and Brewery,Chapel Hill,North Carolina
Iron Mine Pale Ale,4.5,10.0,American-Style Pale Ale,Top of the Hill Restaurant and Brewery,Chapel Hill,North Carolina
Davie Poplar IPA,4.5,10.0,American-Style India Pale Ale,Top of the Hill Restaurant and Brewery,Chapel Hill,North Carolina
Big Bertha Brown,4.5,10.0,American-Style Brown Ale,Top of the Hill Restaurant and Brewery,Chapel Hill,North Carolina
Blackwood Mountain Stout,4.5,10.0,American-Style Stout,Top of the Hill Restaurant and Brewery,Chapel Hill,North Carolina
Pilsner,4.5,10.0,Undefined-Ignore,Greenshields Brewery and Pub,Raleigh,North Carolina
Greenshields Pale Ale,4.5,10.0,American-Style Pale Ale,Greenshields Brewery and Pub,Raleigh,North Carolina
Amber,4.5,10.0,American-Style Amber/Red Ale,Greenshields Brewery and Pub,Raleigh,North Carolina
Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Greenshields Brewery and Pub,Raleigh,North Carolina
Stout,4.5,10.0,American-Style Stout,Greenshields Brewery and Pub,Raleigh,North Carolina
Munich Summer Fest,4.5,10.0,German-Style Oktoberfest,Greenshields Brewery and Pub,Raleigh,North Carolina
Traditional ESB,4.5,10.0,Undefined-Ignore,Pyramid Ales Brewery,Seattle,Washington
Curve Ball,4.9,10.0,Undefined-Ignore,Pyramid Ales Brewery,Seattle,Washington
Snow Cap,6.9,10.0,Old Ale,Pyramid Ales Brewery,Seattle,Washington
Scotch brand Ale,7.2,10.0,Scotch Ale,Pyramid Ales Brewery,Seattle,Washington
Pyramid Thunderhead IPA,6.7,10.0,American-Style India Pale Ale,Pyramid Ales Brewery,Seattle,Washington
Pyramid Broken Rake,6.1,10.0,American-Style Amber/Red Ale,Pyramid Ales Brewery,Seattle,Washington
Hart Espresso Stout,5.6,10.0,American-Style Stout,Pyramid Ales Brewery,Seattle,Washington
Apricot Weizen Ale,5.1,10.0,South German-Style Hefeweizen,Pyramid Ales Brewery,Seattle,Washington
Pyramid Hefe Weizen,5.2,10.0,South German-Style Hefeweizen,Pyramid Ales Brewery,Seattle,Washington
Sun Fest,4.5,10.0,American-Style Lager,Pyramid Ales Brewery,Seattle,Washington
Pyramid Amber Weizen,5.5,10.0,Light American Wheat Ale or Lager,Pyramid Ales Brewery,Seattle,Washington
Pyramid Apricot Weizen,5.1,10.0,Fruit Beer,Pyramid Ales Brewery,Seattle,Washington
Meyer ESB,4.5,10.0,Undefined-Ignore,ThirstyBear Brewing,San Francisco,California
Golden Vanilla Ale,4.5,10.0,Undefined-Ignore,ThirstyBear Brewing,San Francisco,California
Valencia Wheat,4.5,10.0,Undefined-Ignore,ThirstyBear Brewing,San Francisco,California
Thirsty IPA,4.5,10.0,American-Style India Pale Ale,ThirstyBear Brewing,San Francisco,California
Brown Bear Ale,4.5,10.0,American-Style Brown Ale,ThirstyBear Brewing,San Francisco,California
Kozlov Stout,4.5,10.0,American-Style Stout,ThirstyBear Brewing,San Francisco,California
Polar Ale,4.5,10.0,American-Style Lager,ThirstyBear Brewing,San Francisco,California
Essex S.O.B.,4.5,10.0,Undefined-Ignore,Beach Chalet Brewery,San Francisco,California
Playland Pale Ale,4.5,10.0,American-Style Pale Ale,Beach Chalet Brewery,San Francisco,California
Alexander Alt,4.5,10.0,American-Style Brown Ale,Beach Chalet Brewery,San Francisco,California
Fleishhacker Stout,4.5,10.0,American-Style Stout,Beach Chalet Brewery,San Francisco,California
Endless Summer Cream Ale,4.5,10.0,American-Style Lager,Beach Chalet Brewery,San Francisco,California
Burton Pale Ale,4.5,10.0,Undefined-Ignore,Faultline Brewing #2,Walnut Creek,California
Best Bitter,4.5,10.0,Undefined-Ignore,Faultline Brewing #2,Walnut Creek,California
Kí_lsch,4.5,10.0,Undefined-Ignore,Faultline Brewing #2,Walnut Creek,California
India Pale Ale,4.5,10.0,American-Style Pale Ale,Faultline Brewing #2,Walnut Creek,California
Pale Ale,4.5,10.0,American-Style Pale Ale,Faultline Brewing #2,Walnut Creek,California
Golden,4.5,10.0,American-Style Pale Ale,Faultline Brewing #2,Walnut Creek,California
Alt Bier,4.5,10.0,American-Style Brown Ale,Faultline Brewing #2,Walnut Creek,California
Stout,4.5,10.0,American-Style Stout,Faultline Brewing #2,Walnut Creek,California
Hefe Weizen,4.5,10.0,South German-Style Hefeweizen,Faultline Brewing #2,Walnut Creek,California
Brooklyn Lager,5.2,10.0,Undefined-Ignore,Brooklyn Brewery,Brooklyn,New York
East India Pale Ale,6.8,10.0,American-Style India Pale Ale,Brooklyn Brewery,Brooklyn,New York
Brooklyn Summer Ale,4.5,10.0,Golden or Blonde Ale,Brooklyn Brewery,Brooklyn,New York
Brown Ale,5.6,10.0,American-Style Brown Ale,Brooklyn Brewery,Brooklyn,New York
Black Chocolate Stout,14.5,10.0,American-Style Stout,Brooklyn Brewery,Brooklyn,New York
Black Ops,11.0,10.0,American-Style Imperial Stout,Brooklyn Brewery,Brooklyn,New York
Local 1,9.0,10.0,Belgian-Style Pale Strong Ale,Brooklyn Brewery,Brooklyn,New York
Local 2,8.7,10.0,Belgian-Style Dark Strong Ale,Brooklyn Brewery,Brooklyn,New York
Saison De Brooklyn,6.8,10.0,French & Belgian-Style Saison,Brooklyn Brewery,Brooklyn,New York
Oktoberfest,5.5,10.0,American-Style Lager,Brooklyn Brewery,Brooklyn,New York
Winter Ale,4.5,10.0,Winter Warmer,Brooklyn Brewery,Brooklyn,New York
S-Team,4.5,10.0,Undefined-Ignore,"Sam Choy's Breakfast, Lunch, Crab & Big Aloha Brewery",Honolulu,Hawaii
Ehu Ale,4.5,10.0,American-Style Brown Ale,"Sam Choy's Breakfast, Lunch, Crab & Big Aloha Brewery",Honolulu,Hawaii
Bumbucha Stout,4.5,10.0,American-Style Stout,"Sam Choy's Breakfast, Lunch, Crab & Big Aloha Brewery",Honolulu,Hawaii
Paradise Pale Lager,4.5,10.0,Undefined-Ignore,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
Stealth Dark Ale,4.5,10.0,Porter,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
El Nií±o Pale Ale,4.5,10.0,American-Style Pale Ale,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
Red Eye Amber,4.5,10.0,American-Style Amber/Red Ale,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
Black Lava Lager,4.5,10.0,German-Style Schwarzbier,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
Red Sky Amber Lager,4.5,10.0,American-Style Lager,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
Moonset Lager,4.5,10.0,American-Style Lager,Hapa*s Brew Haus and Restaurant,Kihei,Hawaii
Macadamia Nut Brown Ale,4.5,10.0,Undefined-Ignore,Ali`i Brewing,Honolulu,Hawaii
Macadamia Nut Brown,4.5,10.0,Undefined-Ignore,Ali`i Brewing,Honolulu,Hawaii
Pau Hana Porter,4.5,10.0,Porter,Ali`i Brewing,Honolulu,Hawaii
Golden Ale,4.5,10.0,American-Style Pale Ale,Ali`i Brewing,Honolulu,Hawaii
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Ali`i Brewing,Honolulu,Hawaii
Kona Coffee Stout,4.5,10.0,American-Style Stout,Ali`i Brewing,Honolulu,Hawaii
Hula Girl Pale Ale,4.5,10.0,Undefined-Ignore,Sharktooth Brewing,Kahului,Hawaii
Porter,4.5,10.0,Porter,Sharktooth Brewing,Kahului,Hawaii
Amber,4.5,10.0,American-Style Amber/Red Ale,Sharktooth Brewing,Kahului,Hawaii
Big Kahuna Brown,4.5,10.0,American-Style Brown Ale,Sharktooth Brewing,Kahului,Hawaii
Stout,4.5,10.0,American-Style Stout,Sharktooth Brewing,Kahului,Hawaii
Poi Dog Wheat,4.5,10.0,American-Style Lager,Sharktooth Brewing,Kahului,Hawaii
Ace Pear Cider,4.5,10.0,Undefined-Ignore,California Cider Company,San Rafael,California
Ace Fermented Honey Cider,4.5,10.0,Undefined-Ignore,California Cider Company,San Rafael,California
Beer,4.5,10.0,Undefined-Ignore,Mehana Brewing,Hilo,Hawaii
Red Ale,4.5,10.0,American-Style Amber/Red Ale,Mehana Brewing,Hilo,Hawaii
Bohemian Pilsner,4.5,10.0,Undefined-Ignore,Pete's Brewing,San Antonio,Texas
Wicked Ale,4.5,10.0,American-Style Brown Ale,Pete's Brewing,San Antonio,Texas
Wicked Springfest,4.5,10.0,German-Style Heller Bock/Maibock,Pete's Brewing,San Antonio,Texas
Pete's Wicked Wanderlust Cream Ale,5.6,10.0,American-Style Cream Ale or Lager,Pete's Brewing,San Antonio,Texas
Pete's Rally Cap Ale,4.5,10.0,Light American Wheat Ale or Lager,Pete's Brewing,San Antonio,Texas
Wicked Winter Brew,4.5,10.0,Fruit Beer,Pete's Brewing,San Antonio,Texas
Pete's Wicked Strawberry Blonde,4.5,10.0,Fruit Beer,Pete's Brewing,San Antonio,Texas
ESB,4.5,10.0,Undefined-Ignore,TwoRows Restaurant & Brewery - Dallas,Dallas,Texas
Honey Blonde Light Pale Ale,4.5,10.0,Undefined-Ignore,TwoRows Restaurant & Brewery - Dallas,Dallas,Texas
Barking Fish Porter,4.5,10.0,Porter,TwoRows Restaurant & Brewery - Dallas,Dallas,Texas
Route 66 Amber Ale,4.5,10.0,American-Style Amber/Red Ale,TwoRows Restaurant & Brewery - Dallas,Dallas,Texas
Bulldog Brown,4.5,10.0,American-Style Brown Ale,TwoRows Restaurant & Brewery - Dallas,Dallas,Texas
Osage Golden Wheat Ale,4.5,10.0,American-Style Lager,TwoRows Restaurant & Brewery - Dallas,Dallas,Texas
Regatta Golden,4.2,10.0,Undefined-Ignore,Cambridge Brewing,Cambridge,Massachusetts
Charles River Porter,6.0,10.0,Porter,Cambridge Brewing,Cambridge,Massachusetts
Tall Tale Pale Ale,4.9,10.0,American-Style Pale Ale,Cambridge Brewing,Cambridge,Massachusetts
Cambridge Amber,4.3,10.0,American-Style Amber/Red Ale,Cambridge Brewing,Cambridge,Massachusetts
Wheaten Ale,4.5,10.0,American-Style Lager,Cambridge Brewing,Cambridge,Massachusetts
Kenmore Kí_lsch,4.5,10.0,Undefined-Ignore,Boston Beer Works,Boston,Massachusetts
Hercules Stong Ale,4.5,10.0,Undefined-Ignore,Boston Beer Works,Boston,Massachusetts
Fenway American Pale Ale,4.5,10.0,American-Style Pale Ale,Boston Beer Works,Boston,Massachusetts
IPA,4.5,10.0,American-Style India Pale Ale,Boston Beer Works,Boston,Massachusetts
Boston Red,4.5,10.0,American-Style Amber/Red Ale,Boston Beer Works,Boston,Massachusetts
Buckeye Oatmeal Stout,4.5,10.0,American-Style Stout,Boston Beer Works,Boston,Massachusetts
Rudolf Red Barleywine,4.5,10.0,Undefined-Ignore,Pacific Beach Brewhouse,Pacific Beach,California
Blonde,4.5,10.0,Undefined-Ignore,Pacific Beach Brewhouse,Pacific Beach,California
Crystal Pier Pale Ale,4.5,10.0,American-Style Pale Ale,Pacific Beach Brewhouse,Pacific Beach,California
Sunset Red,4.5,10.0,American-Style Amber/Red Ale,Pacific Beach Brewhouse,Pacific Beach,California
Over The Line Stout,4.5,10.0,American-Style Stout,Pacific Beach Brewhouse,Pacific Beach,California
Sealane Steam,4.5,10.0,Undefined-Ignore,La Jolla Brewing,La Jolla,California
Blitzen,4.5,10.0,Undefined-Ignore,La Jolla Brewing,La Jolla,California
Little Point Pale,4.5,10.0,American-Style Pale Ale,La Jolla Brewing,La Jolla,California
Red Roost Ale,4.5,10.0,American-Style Amber/Red Ale,La Jolla Brewing,La Jolla,California
Christmas Ale,4.5,10.0,Undefined-Ignore,Callahan's Pub and Brewery,San Diego,California
Mesa Pale Ale,4.5,10.0,American-Style Pale Ale,Callahan's Pub and Brewery,San Diego,California
Red,4.5,10.0,American-Style Amber/Red Ale,Callahan's Pub and Brewery,San Diego,California
Twist of Fate Bitter,4.5,10.0,Undefined-Ignore,Moonlight Brewing,Fulton,California
4868 Dark Wheat,4.5,10.0,Porter,Moonlight Brewing,Fulton,California
Bombay by Boat IPA,4.5,10.0,American-Style India Pale Ale,Moonlight Brewing,Fulton,California
Baritone Red,4.5,10.0,American-Style Amber/Red Ale,Moonlight Brewing,Fulton,California
Golden Eagle,4.5,10.0,Undefined-Ignore,Dempsey's Restaurant & Brewery,Petaluma,California
Red Rooster,4.5,10.0,American-Style Pale Ale,Dempsey's Restaurant & Brewery,Petaluma,California
Bad Bear Brown,4.5,10.0,American-Style Brown Ale,Dempsey's Restaurant & Brewery,Petaluma,California
Holiday Wheat Bock,4.5,10.0,Traditional German-Style Bock,Dempsey's Restaurant & Brewery,Petaluma,California
Spring Bock,4.5,10.0,Traditional German-Style Bock,Dempsey's Restaurant & Brewery,Petaluma,California
Belgian Wit,4.5,10.0,Undefined-Ignore,Emmett's Tavern and Brewery,West Dundee,Illinois
German Pilsner,4.5,10.0,Undefined-Ignore,Emmett's Tavern and Brewery,West Dundee,Illinois
Blonde,4.5,10.0,Undefined-Ignore,Manhattan Beach Brewing,Manhattan Beach,California
Pier Pale Ale,4.5,10.0,American-Style Pale Ale,Manhattan Beach Brewing,Manhattan Beach,California
Rat Beach Red Ale,4.5,10.0,American-Style Amber/Red Ale,Manhattan Beach Brewing,Manhattan Beach,California
Evil Eye Ale,4.5,10.0,Undefined-Ignore,Wainwright Brewing,Pittsburgh,Pennsylvania
Black Jack Black and Tan,4.5,10.0,American-Style Lager,Wainwright Brewing,Pittsburgh,Pennsylvania
The Mad Elf,11.0,10.0,Undefined-Ignore,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #23 2009 Kellar Fest,5.1,10.0,Undefined-Ignore,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #24 2009 Van de Hoorn,7.8,10.0,Undefined-Ignore,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #11 2008,4.9,10.0,Ordinary Bitter,Troegs Brewing,Harrisburg,Pennsylvania
ESB,5.7,10.0,Extra Special Bitter,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #15 2008,6.0,10.0,Oatmeal Stout,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #19 2009 Imperial Double Expresso Oatmeal Stout,9.5,10.0,Oatmeal Stout,Troegs Brewing,Harrisburg,Pennsylvania
Dead Reckoning Porter,5.8,10.0,Porter,Troegs Brewing,Harrisburg,Pennsylvania
Troegs Pale Ale,5.4,10.0,American-Style Pale Ale,Troegs Brewing,Harrisburg,Pennsylvania
Trí_egs Splinter Beer Red,11.0,10.0,American-Style Strong Pale Ale,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #12 2008,6.5,10.0,American-Style India Pale Ale,Troegs Brewing,Harrisburg,Pennsylvania
Scratch Beer 31 - 2010 Citra Of Brotherly Love IPA,7.4,10.0,American-Style India Pale Ale,Troegs Brewing,Harrisburg,Pennsylvania
Scratch #20 2009 Apollo Imperial Ale,7.0,10.0,Imperial or Double India Pale Ale,Troegs Brewing,Harrisburg,Pennsylvania
HopBack Amber Ale,5.6,10.0,American-Style Amber/Red Ale,Troegs Brewing,Harrisburg,Pennsylvania
